Year,State,District,Representative,Party
2014,Alabama,1,Bradley Byrne,Republican
2014,Alabama,2,Martha Roby,Republican
2014,Alabama,3,Mike D. Rogers,Republican
2014,Alabama,4,Robert Aderholt,Republican
2014,Alabama,5,Mo Brooks,Republican
2014,Alabama,6,Gary Palmer,Republican
2014,Alabama,7,Terri Sewell,Democratic
2014,Alaska,1,Don Young,Republican
2014,Arizona,1,Ann Kirkpatrick,Democratic
2014,Arizona,2,Martha McSally,Republican
2014,Arizona,3,Raúl Grijalva,Democratic
2014,Arizona,4,Paul Gosar,Republican
2014,Arizona,5,Matt Salmon,Republican
2014,Arizona,6,David Schweikert,Republican
2014,Arizona,7,Ruben Gallego,Democratic
2014,Arizona,8,Trent Franks,Republican
2014,Arizona,9,Kyrsten Sinema,Democratic
2014,Arkansas,1,Rick Crawford,Republican
2014,Arkansas,2,French Hill,Republican
2014,Arkansas,3,Steve Womack,Republican
2014,Arkansas,4,Bruce Westerman,Republican
2014,California,1,Doug LaMalfa,Republican
2014,California,2,Jared Huffman,Democratic
2014,California,3,John Garamendi,Democratic
2014,California,4,Tom McClintock,Republican
2014,California,5,Mike Thompson,Democratic
2014,California,6,Doris Matsui,Democratic
2014,California,7,Ami Bera,Democratic
2014,California,8,Paul Cook,Republican
2014,California,9,Jerry McNerney,Democratic
2014,California,10,Jeff Denham,Republican
2014,California,11,Mark DeSaulnier,Democratic
2014,California,12,Nancy Pelosi,Democratic
2014,California,13,Barbara Lee,Democratic
2014,California,14,Jackie Speier,Democratic
2014,California,15,Eric Swalwell,Democratic
2014,California,16,Jim Costa,Democratic
2014,California,17,Mike Honda,Democratic
2014,California,18,Anna Eshoo,Democratic
2014,California,19,Zoe Lofgren,Democratic
2014,California,20,Sam Farr,Democratic
2014,California,21,David Valadao,Republican
2014,California,22,Devid Nunes,Republican
2014,California,23,Kevin McCarthy,Republican
2014,California,24,Lois Capps,Democratic
2014,California,25,Steve Knight,Republican
2014,California,26,Julia Brownley,Democratic
2014,California,27,Judy Chu,Democratic
2014,California,28,Adam Schiff,Democratic
2014,California,29,Tony Cárdenas,Democratic
2014,California,30,Brad Sherman,Democratic
2014,California,31,Pete Aguilar,Democratic
2014,California,32,Grace Napolitano,Democratic
2014,California,33,Ted Lieu,Democratic
2014,California,34,Xavier Becerra,Democratic
2014,California,35,Norma Torres,Democratic
2014,California,36,Raul Ruiz,Democratic
2014,California,37,Karen Bass,Democratic
2014,California,38,Linda Sánchez,Democratic
2014,California,39,Ed Royce,Republican
2014,California,40,Lucille Roybal-Allard,Democratic
2014,California,41,Mark Takano,Democratic
2014,California,42,Ken Calvert,Republican
2014,California,43,Maxine Waters,Democratic
2014,California,44,Janice Hahn,Democratic
2014,California,45,Mimi Walters,Republican
2014,California,46,Loretta Sanchez,Democratic
2014,California,47,Alan Lowenthal,Democratic
2014,California,48,Dana Rohrabacher,Republican
2014,California,49,Darrell Issa,Republican
2014,California,50,Duncan D. Hunter,Republican
2014,California,51,Juan Vargas,Democratic
2014,California,52,Scott Peters,Democratic
2014,California,53,Susan Davis,Democratic
2014,Colorado,1,Diana DeGette,Democratic
2014,Colorado,2,Jared Polis,Democratic
2014,Colorado,3,Scott Tipton,Republican
2014,Colorado,4,Ken Buck,Republican
2014,Colorado,5,Doug Lamborn,Republican
2014,Colorado,6,Mike Coffman,Republican
2014,Colorado,7,Ed Perlmutter,Democratic
2014,Connecticut,1,John Larson,Democratic
2014,Connecticut,2,Joe Courtney,Democratic
2014,Connecticut,3,Rosa DeLauro,Democratic
2014,Connecticut,4,Jim Himes,Democratic
2014,Connecticut,5,Elizabeth Esty,Democratic
2014,Delaware,1,John Carney,Democratic
2014,Florida,1,Jeff Miller,Republican
2014,Florida,2,Gwen Graham,Democratic
2014,Florida,3,Ted Yoho,Republican
2014,Florida,4,Ander Crenshaw,Republican
2014,Florida,5,Corrine Brown,Democratic
2014,Florida,6,Ron DeSantis,Republican
2014,Florida,7,John Mica,Republican
2014,Florida,8,Bill Posey,Republican
2014,Florida,9,Alan Grayson,Democratic
2014,Florida,10,Daniel Webster,Republican
2014,Florida,11,Rich Nugent,Republican
2014,Florida,12,Gus Bilirakis,Republican
2014,Florida,13,David Jolly,Republican
2014,Florida,14,Kathy Castor,Democratic
2014,Florida,15,Dennis A. Ross,Republican
2014,Florida,16,Vern Buchanan,Republican
2014,Florida,17,Tom Rooney,Republican
2014,Florida,18,Patrick Murphy,Democratic
2014,Florida,19,Curt Clawson,Republican
2014,Florida,20,Alcee Hastings,Democratic
2014,Florida,21,Ted Deutch,Democratic
2014,Florida,22,Lois Frankel,Democratic
2014,Florida,23,Debbie Wasserman Schultz,Democratic
2014,Florida,24,Frederica Wilson,Democratic
2014,Florida,25,Mario Díaz-Balart,Republican
2014,Florida,26,Carlos Curbelo,Republican
2014,Florida,27,Ileana Ros-Lehtinen,Republican
2014,Georgia,1,Buddy Carter,Republican
2014,Georgia,2,Sanford Bishop,Democratic
2014,Georgia,3,Lynn Westmoreland,Republican
2014,Georgia,4,Hank Johnson,Democratic
